,id,transcription,emotion,text,label
0,Ses01F_impro01_F000,Excuse me.,neu,Excuse me.,0
1,Ses01F_impro01_F001,Yeah.,neu,Yeah.,0
2,Ses01F_impro01_F002,Is there a problem?,neu,Is there a problem?,0
3,Ses01F_impro01_F005,Well what's the problem?  Let me change it.,neu,Well what's the problem?  Let me change it.,0
4,Ses01F_impro01_F012,That's out of control.,ang,That's out of control.,2
5,Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",neu,"Clearly.  You know, do you have like a supervisor or something?",0
6,Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,2
7,Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,2
8,Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad,Did you get the mail? So you saw my letter?,3
9,Ses01F_impro02_F001,Yeah.  I know.,sad,Yeah.  I know.,3
10,Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,sad,I don't know.  I put in that. request too. They didn't...,3
11,Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neu,"I guess, you know, everybody has to make sacrifices.",0
12,Ses01F_impro02_F004,"There's people that have given more though, you know?",sad,"There's people that have given more though, you know?",3
13,Ses01F_impro02_F005,I know.,sad,I know.,3
14,Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neu,"There's babies over there, though, that need mothers.",0
15,Ses01F_impro02_F008,"Just, you know, kicking myself.",sad,"Just, you know, kicking myself.",3
16,Ses01F_impro02_F010,things just aren't what they seem.,sad,things just aren't what they seem.,3
17,Ses01F_impro02_F012,"If not me then, who?",sad,"If not me then, who?",3
18,Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad,"You'll videotape everything, yeah?",3
19,Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad,"Maybe you can send it to me, like stream it, yeah?",3
20,Ses01F_impro02_F015,Last month--  Yeah.,sad,Last month--  Yeah.,3
21,Ses01F_impro02_F016,I have to find sitters.,neu,I have to find sitters.,0
22,Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",3
23,Ses01F_impro02_F018,And your mother is close by.,neu,And your mother is close by.,0
24,Ses01F_impro02_F019,I'll send you lots of letters.,sad,I'll send you lots of letters.,3
25,Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad,And I want lots and lots and lots of pictures.,3
26,Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad,"I don't understand.  You've already done so much, I don't know why do you have to go back.",3
27,Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,3
28,Ses01F_impro02_M009,I just don't see why it has to be you.,sad,I just don't see why it has to be you.,3
29,Ses01F_impro02_M010,What am I going to do? Huh?,sad,What am I going to do? Huh?,3
30,Ses01F_impro02_M011,Yeah.,sad,Yeah.,3
31,Ses01F_impro02_M012,Don't you guys have access to computers over there.,neu,Don't you guys have access to computers over there.,0
32,Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,sad,I just don't know how I'm going to do it without you.,3
33,Ses01F_impro02_M014,I can't raise a baby by myself.  How?,sad,I can't raise a baby by myself.  How?,3
34,Ses01F_impro02_M015,I know.,neu,I know.,0
35,Ses01F_impro03_F000,Well Vegas was awesome.,hap,Well Vegas was awesome.,1
36,Ses01F_impro03_F001,"And, um, I got married.",hap,"And, um, I got married.",1
37,Ses01F_impro03_F002,Yeah.  In the old town part.,hap,Yeah.  In the old town part.,1
38,Ses01F_impro03_F004,Um- Yes.  It was very romantic.,hap,Um- Yes.  It was very romantic.,1
39,Ses01F_impro03_F005,It was at the slot machines.,hap,It was at the slot machines.,1
40,Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",1
41,Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",hap,"Yeah.  Well.  You know, because he's leaving the next day.",1
42,Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,hap,But we're going to have a honeymoon cruise.,1
43,Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,hap,Oh.  I hadn't even thought about that.,1
44,Ses01F_impro03_F012,Oh.  Totally.,hap,Oh.  Totally.,1
45,Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],hap,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],1
46,Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",hap,"Yeah, so [LAUGHTER] He's calling me now",1
47,Ses01F_impro03_F016,"He likes to keep tabs, you know.",hap,"He likes to keep tabs, you know.",1
48,Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neu,"Uh, I think seven hundred and fifty dollars.",0
49,Ses01F_impro03_F018,Penny slots. That's what he plays.,neu,Penny slots. That's what he plays.,0
50,Ses01F_impro03_F019,Yeah.,neu,Yeah.,0
51,Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,hap,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,1
52,Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neu,Fifty bucks. Mmhmm.,0
53,Ses01F_impro03_F023,Yeah.,neu,Yeah.,0
54,Ses01F_impro03_F024,Well so now we're married. We have cat children.,hap,Well so now we're married. We have cat children.,1
55,Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",hap,"We renamed Brenda, Lumber Janet.",1
56,Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],hap,She needs a new name each state that we go into. [LAUGHTER],1
57,Ses01F_impro03_M000,So what's up?  What's new?,neu,So what's up?  What's new?,0
58,Ses01F_impro03_M001,Yeah.  I heard.,neu,Yeah.  I heard.,0
59,Ses01F_impro03_M003,Who did you marry?,hap,Who did you marry?,1
60,Ses01F_impro03_M006,He turned to you and was like...,neu,He turned to you and was like...,0
61,Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,hap,[LAUGHTER] That's really romantic.,1
62,Ses01F_impro03_M008,Yeah.,neu,Yeah.,0
63,Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",0
64,Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neu,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,0
65,Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],hap,Like you need another one of those.[LAUGHTER],1
66,Ses01F_impro03_M014,Is that your phone?,hap,Is that your phone?,1
67,Ses01F_impro03_M015,He loves you.,hap,He loves you.,1
68,Ses01F_impro03_M016,How much did he win at the slot?,neu,How much did he win at the slot?,0
69,Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neu,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,0
70,Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu,"But the pennies always get you because you end up spending like, you know, fifty bucks.",0
71,Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neu,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",0
72,Ses01F_impro03_M022,Awesome.,hap,Awesome.,1
73,Ses01F_impro03_M023,[LAUGHTER] Cat babies.,hap,[LAUGHTER] Cat babies.,1
74,Ses01F_impro03_M024,That's fair enough.,neu,That's fair enough.,0
75,Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",neu,"Uh, what?  Craig's List?  Oh the internet thing?",0
76,Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,neu,I don't know.  Isn't that-- that's all like escort services and things like that.,0
77,Ses01F_impro04_F005,He just...,neu,He just...,0
78,Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,neu,you know what?  I heard about that job.  I applied for that.,0
79,Ses01F_impro04_F009,Yeah.,neu,Yeah.,0
80,Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neu,I just- I mean I call people up and I tell them what I'm good at.,0
81,Ses01F_impro04_F014,Yeah.,neu,Yeah.,0
82,Ses01F_impro04_F028,I'm not frustrated.,ang,I'm not frustrated.,2
83,Ses01F_impro04_F029,Who do you think you are?,ang,Who do you think you are?,2
84,Ses01F_impro04_F030,You are so high and mighty.  I just--,ang,You are so high and mighty.  I just--,2
85,Ses01F_impro04_F031,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,ang,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,2
86,Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",ang,"The bus, I'm riding the bus because I want to.",2
87,Ses01F_impro04_F033,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,ang,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,2
88,Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",neu,"Have you tried, uh, Craig's List?",0
89,Ses01F_impro04_M001,Yeah.,neu,Yeah.,0
90,Ses01F_impro04_M002,No.  There's regular jobs on there.,neu,No.  There's regular jobs on there.,0
91,Ses01F_impro04_M003,Uh huh.,neu,Uh huh.,0
92,Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu,I'm just saying I have a friend that got a good job on it so I was just recommending it.,0
93,Ses01F_impro04_M005,He's like a manager for a theatre.,neu,He's like a manager for a theatre.,0
94,Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,neu,He's like a house manager. Yeah.  It's a good job.,0
95,Ses01F_impro04_M007,You did?,neu,You did?,0
96,Ses01F_impro04_M008,Yeah.,neu,Yeah.,0
97,Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,neu,You've been looking for a job for a long time; that was a long time ago.  Right?,0
98,Ses01F_impro04_M010,Hmm.,neu,Hmm.,0
99,Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,neu,I don't know.  He had a really good resume I guess and--,0
100,Ses01F_impro04_M012,Yeah.  Do you have a resume?,neu,Yeah.  Do you have a resume?,0
101,Ses01F_impro04_M013,It's kind of helpful when getting a job.,neu,It's kind of helpful when getting a job.,0
102,Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,0
103,Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",0
104,Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",neu,"Yeah.  But the piece of paper helps, too.",0
105,Ses01F_impro04_M017,"No.  But it has an outline, you know.",neu,"No.  But it has an outline, you know.",0
106,Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",neu,"I know.  Okay.  Well, um. Maybe--",0
107,Ses01F_impro04_M019,Yeah.,neu,Yeah.,0
108,Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",neu,"Okay, yeah.  I would imagine.",0
109,Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",0
110,Ses01F_impro04_M022,maybe get a car.,neu,maybe get a car.,0
111,Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",neu,"I just, you know, think you should try a little harder maybe.",0
112,Ses01F_impro04_M024,I didn't say that.,neu,I didn't say that.,0
113,Ses01F_impro04_M025,"I am riding the bus, but by choice.",neu,"I am riding the bus, but by choice.",0
114,Ses01F_impro04_M026,"To save the environment, carpool.",neu,"To save the environment, carpool.",0
115,Ses01F_impro04_M027,Yes.  One less car at a time.,neu,Yes.  One less car at a time.,0
116,Ses01F_impro04_M028,Mmhmm.,neu,Mmhmm.,0
117,Ses01F_impro04_M031,I don't think I'm anyone.,neu,I don't think I'm anyone.,0
118,Ses01F_impro04_M032,I- I-I didn't-- okay.,neu,I- I-I didn't-- okay.,0
119,Ses01F_impro05_F008,Flight seven fourteen.,ang,Flight seven fourteen.,2
120,Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",2
121,Ses01F_impro05_F011,Is this a joke?,ang,Is this a joke?,2
122,Ses01F_impro05_F012,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",ang,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",2
123,Ses01F_impro05_F014,"You're kidding me, this is a joke.",ang,"You're kidding me, this is a joke.",2
124,Ses01F_impro05_F015,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,ang,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,2
125,Ses01F_impro05_F016,We flew in from Paris.  I've been shopping for three weeks.,ang,We flew in from Paris.  I've been shopping for three weeks.,2
